[15:07:02] [main/INFO]: Setting user: Player265
[15:07:04] [Client thread/INFO]: LWJGL Version: 2.9.1
[15:07:12] [Client thread/INFO]: Reloading ResourceManager: Default, FMLFileResourcePack:Forge Mod Loader, FMLFileResourcePack:Minecraft Forge, FMLFileResourcePack:Rare Gems Mod
[15:07:15] [Sound Library Loader/INFO]: Sound engine started
[15:07:16] [Client thread/INFO]: Created: 512x256 textures/blocks-atlas
[15:07:16] [Client thread/INFO]: Created: 256x256 textures/items-atlas
[15:07:16] [Client thread/INFO]: Reloading ResourceManager: Default, FMLFileResourcePack:Forge Mod Loader, FMLFileResourcePack:Minecraft Forge, FMLFileResourcePack:Rare Gems Mod
[15:07:17] [Client thread/INFO]: Created: 512x256 textures/blocks-atlas
[15:07:17] [Client thread/INFO]: Created: 256x256 textures/items-atlas
[15:07:17] [Client thread/ERROR]: ########## GL ERROR ##########
[15:07:17] [Client thread/ERROR]: @ Post startup
[15:07:17] [Client thread/ERROR]: 1281: Invalid value
[15:07:18] [Sound Library Loader/INFO]: Sound engine started
[15:07:20] [MCO Availability Checker #1/ERROR]: Couldn't connect to Realms
[15:07:21] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:gui.button.press
[15:07:23] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:music.menu
[15:07:25] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:music.menu
[15:07:32] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:music.menu
[15:07:33] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:gui.button.press
[15:07:34] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:gui.button.press
[15:07:35] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:gui.button.press
[15:07:36] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:gui.button.press
[15:07:36] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:gui.button.press
[15:07:37] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:gui.button.press
[15:07:37] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:music.menu
[15:07:38] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:gui.button.press
[15:07:38] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:gui.button.press
[15:07:39] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:gui.button.press
[15:07:40] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:gui.button.press
[15:07:40] [Client thread/INFO]: Stopping!
